Id;Model;Price;Mfg_Year;Sale_Year;Sale_Month;KM;Fuel_Type;HP;Met_Color;Color;Automatic;CC;Doors;Cylinders;Gears;Quarterly_Tax;Auto_Drive;Weight;Control_Conce;ABS;Airbag_1;Airbag_2;Automatic_airco;Boardcomputer;Seat_Heater;Sport_Model;Backseat_Divider;Leather Seats;Parking_Assistant
1;T-Delux 1.6 16V VVT I HATCHB SOL AUT4 2/3-Doors;9620555;2017;2018;1;29686;Gasolina;110;1;Green;1;1600;3;4;5;80750;0;1075;1;1;1;1;0;1;1;0;1;1;0
2;T-Delux 1.3 16V HATCHB G6 2/3-Doors;9093352;2017;2018;1;69659;Gasolina;86;0;Red;0;1300;3;4;6;65550;0;1025;1;1;1;1;0;0;1;1;1;0;0
3;T-Delux 1.6 16V VVT I HATCHB G6 2/3-Doors;7826670;2017;2018;1;126110;Gasolina;110;0;Black;0;1600;3;4;5;80750;0;1055;1;1;1;1;0;1;1;0;1;1;0
4;T-Delux 1.6 16V VVT I WAGON TERRA Stationwagen;8910247;2017;2018;1;47689;Gasolina;110;0;Red;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;0;0;1;0;0
5;T-Delux 1.6 16V VVT I SEDAN TERRA 4/5-Doors;7465337;2017;2018;1;115558;Gasolina;110;1;Blue;0;1600;4;4;5;65550;0;1035;1;1;1;1;0;0;1;0;1;0;0
6;T-Delux 1.9 D HATCHB TERRA 2/3-Doors;5433050;2017;2018;1;176000;Diesel;69;0;Blue;0;1900;3;4;5;175750;0;1105;1;1;1;1;0;1;0;0;1;0;0
7;T-Delux 1.6 16V HATCHB G6 2/3-Doors;6865650;2016;2018;1;49942;Gasolina;110;0;Red;0;1600;3;4;6;80750;0;1065;1;1;1;1;0;0;1;0;1;1;0
8;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;6992000;2016;2018;1;61100;Gasolina;110;1;Green;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;0;0
9;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;5848734;2016;2018;1;58136;Gasolina;110;1;Black;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;1;0
10;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;6983212;2016;2018;1;70552;Gasolina;110;0;Grey;0;1600;5;4;5;80750;0;1075;1;1;1;1;0;0;1;0;1;1;0
11;T-Delux 1.6 16V LIFTB LINEA TERRA 4/5-Doors;6852646;2016;2018;1;73376;Gasolina;110;0;Red;0;1600;5;4;5;80750;0;1070;1;1;1;1;0;0;0;0;1;0;0
12;T-Delux 1.6 16V HATCHB S 2/3-Doors;7222612;2016;2018;1;17345;Gasolina;110;1;Red;0;1600;3;4;5;65550;0;1050;1;0;1;0;0;0;0;0;1;0;0
13;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;6049600;2016;2018;1;57000;Gasolina;110;1;Grey;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;0;1;1;0;0
14;T-Delux 1.6 16V HATCHB G6 2/3-Doors;5329500;2016;2018;1;150585;Gasolina;110;1;Blue;0;1600;3;4;6;80750;0;1065;1;1;1;1;0;0;1;1;1;1;0
15;T-Delux 1.3 16V SEDAN LINEA TERRA AUT3 4/5-Doors;7021687;2016;2018;1;15535;Gasolina;86;1;Grey;1;1300;4;4;5;65550;0;1030;1;1;1;1;0;0;0;0;0;0;0
16;T-Delux 1.6 16V LIFTB LINEA TERRA 4/5-Doors;6121800;2016;2018;1;68453;Gasolina;110;1;Red;0;1600;5;4;5;80750;0;1070;1;1;1;1;0;0;0;1;1;0;0
17;T-Delux 1.6 16V LIFTB LINEA TERRA 4/5-Doors;4859250;2016;2018;1;58654;Gasolina;110;1;Grey;0;1600;5;4;5;80750;0;1070;1;1;1;1;0;0;0;0;1;0;0
18;T-Delux 1.6 Linea Terra Sedan 4/5-Doors;5610937;2016;2018;1;89576;Gasolina;110;0;Red;0;1600;4;4;5;65550;0;1035;0;0;0;0;0;0;0;0;0;0;0
19;T-Delux 1.6 16V SEDAN LINEA TERRA 4/5-Doors;4816500;2016;2018;1;70116;Gasolina;110;1;Red;0;1600;4;4;5;65550;0;1035;1;1;1;1;0;0;0;0;0;0;0
20;T-Delux 1.6 16V HATCHB LINEA TERRA 2/3-Doors;4881337;2015;2018;1;120196;Gasolina;110;1;Black;0;1600;3;4;5;65550;0;1050;1;1;1;1;0;0;1;1;1;1;0
21;T-Delux 1.6 16V HATCHB S 2/3-Doors;4191637;2015;2018;1;104150;Gasolina;110;1;Blue;0;1600;3;4;5;65550;0;1050;1;0;1;0;0;0;0;1;1;0;0
22;T-Delux 1.6 16V LIFTB LINEA TERRA 4/5-Doors;4720645;2015;2018;1;43720;Gasolina;110;1;Grey;0;1600;5;4;5;80750;0;1070;1;1;1;1;0;0;0;1;1;0;0
23;T-Delux 1.3 16V LIFTB LINEA LUNA 4/5-Doors;4449325;2015;2018;1;122820;Gasolina;86;0;Red;0;1300;5;4;5;65550;0;1040;1;1;1;1;0;0;1;0;1;1;0
24;T-Delux 1.3 16V HATCHB LINEA TERRA 2/3-Doors;4360500;2015;2018;1;17016;Gasolina;86;0;Blue;0;1300;3;4;5;65550;0;1015;1;0;1;1;0;0;0;0;1;0;0
25;T-Delux 1.6 16V LIFTB LINEA LUNA 4/5-Doors;4086187;2015;2018;1;120000;Gasolina;110;0;Green;0;1600;5;4;5;80750;0;1075;1;0;1;0;0;0;1;0;1;0;0
